Rank	Swim Time	Name	Foreign	Age	Event	LSC	Team	Meet	Time Standard
182	2:14.58	Alex Parent		15	200 FL LCM	NE	Bluefish Swim Club	2023 NE BYB/KCY Approved Specialty Meet	2020-2024 AAA
183	2:14.65	Otis Tsai		15	200 FL LCM	CA	Rose Bowl Aquatics	2023 CA SCS/CANY June Age Group Invite	2020-2024 AAA
184	2:14.69	Thane Cardon		15	200 FL LCM	ST	Alamo Area Aquatic Association	2023 ST TXLA Speedo SZ LC Sectional Championships	2020-2024 AAA
185	2:14.75	Dar Lavrenko		15	200 FL LCM	PC	Los Altos & Mountain View A.C.	2023 PC LAMV LCM CBA+	2020-2024 AAA
186	2:14.76	Ben Latourelle		15	200 FL LCM	NE	Bluefish Swim Club	2023 NE BGSC New England Senior Championship	2020-2024 AAA
186	2:14.76	Heston Steckel		15	200 FL LCM	MA	Germantown Academy Aquatic Club	2023 NJ SCAR April Long Course Invitational	2020-2024 AAA
188	2:14.82	Kjell Cady		15	200 FL LCM	PN	South Snohomish Co. Dolphins	2023 PN SSCD Dick LaFave Classic	2020-2024 AAA
189	2:14.83	Adam Speedie		15	200 FL LCM	GU	Houston Hydra	2023 ST TXLA Speedo SZ LC Sectional Championships	2020-2024 AAA
189	2:14.83	Darren Nguyen		15	200 FL LCM	CA	Mission Viejo Nadadores	2023 CA Los Angeles Invite	2020-2024 AAA
191	2:14.89	Julien Shao		15	200 FL LCM	MR	Asphalt Green Unified Aquatics	2023 NI Eastern Zone Senior Championships	2020-2024 AAA
192	2:14.95	Stanley Oka		15	200 FL LCM	CC	Fresno Dolphins Swim Team	2023 PC SCSC George Haines International	2020-2024 AAA
193	2:14.97	Joshua Stewart		15	200 FL LCM	NT	Texas Ford Aquatics	2023 NT MTRO American Long Course	2020-2024 AAA
194	2:14.99	Gabriel Martinez Cabrera		15	200 FL LCM	FG	Ransom Everglades Aquatic Club	2023 FG LCM Senior Championships	2020-2024 AAA
195	2:15.01	Gideon Swan		15	200 FL LCM	GU	Swim Houston Aquatics Center	2023 GU Aggieland April LC Invitational	2020-2024 AAA
196	2:15.04	Brady Zink		15	200 FL LCM	FL	Rocket Swimming	2023 FL ISCA Summer Senior Blast	2020-2024 AAA
197	2:15.12	Whitaker Steward		15	200 FL LCM	MV	Tsunami Swim Team of K.C.	2023 MV CSC Region VIII Sectional Championships	2020-2024 AAA
198	2:15.16	Alex Nguyen		15	200 FL LCM	PV	Rockville Montgomery Swim Club	2023 VA EZ LC Speedo Super Sectional	2020-2024 AAA
199	2:15.18	Aiden DeLuca		15	200 FL LCM	NC	SwimMAC Carolina	2023 NC NCS LC SR Champs (STAR2)	2020-2024 AAA
200	2:15.19	Tyler Phillips		15	200 FL LCM	PV	Nation's Capital Swim Club	2023 Futures Championships - Richmond, VA - CAP REACHED	2020-2024 AAA
201	2:15.20	Shah Grewal	Yes	15	200 FL LCM	PN	King Aquatic Club	2023 PN Senior Long Course Champs	2020-2024 AAA
202	2:15.21	Seth Graber		15	200 FL LCM	MR	Empire Swimming	2023 FG Piranhas Senior Invite	2020-2024 AAA
203	2:15.29	Will Erdtmann		15	200 FL LCM	NE	Executive Swim Club	2023 NE BGSC New England Senior Championship	2020-2024 AAA
204	2:15.33	Timmy King		15	200 FL LCM	CT	Unattached	2023 NJ SCAR TYR LC Winter Invite	2020-2024 AAA
205	2:15.35	Patrick Rhatigan		15	200 FL LCM	IL	FMC Aquatic	2023 IA Speedo Section Summer Champs CZ North	2020-2024 AAA
206	2:15.36	Kevin Yue		15	200 FL LCM	MD	Y in Central Maryland	2023 NC YMCA Long Course Nationals	2020-2024 AAA
206	2:15.36	Hudson Roybal		15	200 FL LCM	NT	Lakeside Aquatic Club	2023 WV 23023 Summer Senior Showdown	2020-2024 AAA
208	2:15.37	Adriano Brunetti		15	200 FL LCM	FG	Pompano Beach Piranhas	2023 FG LCM Senior Championships	2020-2024 AAA
209	2:15.38	Owen Cullaty		15	200 FL LCM	VA	Cavalier Aquatics/Piedmont Family YMCA	2023 VA LC Senior Champs	2020-2024 AAA
