Rank	Swim Time	Name	Foreign	Age	Event	LSC	Team	Meet	Time Standard
72	52.23	Mackey Nurkic Kacapor		17	100 FR LCM	PV	Nation's Capital Swim Club	2023 PV LC Open Championships	2023 Winter Juniors (SCY)
72	52.23r	Kai Funaro		17	100 FR LCM	ST	Nitro Swimming	2023 ST TXLA Speedo SZ LC Sectional Championships	2023 Winter Juniors (SCY)
72	52.23	Nathaniel Taft		17	100 FR LCM	CT	Weston Swimming Inc.	2023 CT LC Senior Championships	2023 Winter Juniors (SCY)
75	52.24	David King		17	100 FR LCM	VA	Cavalier Aquatics/Piedmont Family YMCA	2023 PV NCAP Elite Qualifier	2023 Winter Juniors (SCY)
75	52.24r	Nate Hohm		17	100 FR LCM	NC	Aquatic Team Of Mecklenburg	2023 Futures Championships - San Antonio, TX - Cap Reached	2023 Winter Juniors (SCY)
77	52.30	Thackston McMullan		17	100 FR LCM	OHO	Cincinnati Marlins	2023 OH PHST Jill Griesse Memorial	2023 Winter Juniors (SCY)
77	52.30r	William Savarese		17	100 FR LCM	NT	COR Swimming	2023 IN NCSA Summer Swimming Championships	2023 Winter Juniors (SCY)
79	52.31	Aaron Baltaytis		17	100 FR LCM	NJ	Jersey Flyers Aquatic Club	2023 Futures Championships - Richmond, VA - CAP REACHED	2023 Winter Juniors (SCY)
79	52.31	Jacob Wang		17	100 FR LCM	CA	Irvine Novaquatics	2023 Speedo Junior National Championships	2023 Winter Juniors (SCY)
81	52.33	Adam Varga		17	100 FR LCM	FL	Saint Petersburg Aquatics	2023 FL Sarasota Shark Open	2023 Winter Juniors (SCY)
82	52.34	Philip Walker		17	100 FR LCM	SE	Huntsville Swim Association	2023 IN NCSA Summer Swimming Championships	2023 Winter Juniors (SCY)
83	52.35	Lance Young		17	100 FR LCM	SE	Huntsville Swim Association	2023 IN NCSA Summer Swimming Championships	2023 Winter Juniors (SCY)
