Rank	Swim Time	Name	Foreign	Age	Event	LSC	Team	Meet	Time Standard
311	1:58.16	Bartek Bednarz		17	200 FR LCM	AZ	Swim Neptune	2023 AZ Long Course Senior State Championships	2020-2024 AAA
312	1:58.17r	Garrett Jones		17	200 FR LCM	NE	Gator Swim Club	2023 NE BGSC New England Senior Championship	2020-2024 AAA
313	1:58.18	Luke Fender		17	200 FR LCM	MS	Mississippi Makos Swim Team	2023 MS Southern Zone Senior Championships	2020-2024 AAA
314	1:58.19	Scott McMillan		17	200 FR LCM	PC	Walnut Creek Aquabears	2023 CC Arena Grand Challenge	2020-2024 AAA
315	1:58.21	William Walz		17	200 FR LCM	PC	Burlingame Aquatic Club	2023 Futures - Sacramento, CA	2020-2024 AAA
316	1:58.22	Max Marrujo		17	200 FR LCM	NC	TAC Titans	2023 NC TAC Titans Triangle Classic	2020-2024 AAA
317	1:58.23	Riley Clinton		17	200 FR LCM	CA	Sandpipers Of Nevada	2023 CA TYR Fran Crippen Swim Meet of Champions at MVN	2020-2024 AAA
317	1:58.23	Anthony Taslakov		17	200 FR LCM	NE	Charles River Aquatics	2023 NE BGSC New England Senior Championship	2020-2024 AAA
319	1:58.24	Henry Gibbs		17	200 FR LCM	PC	Palo Alto Stanford Aquatics	2023 CC Arena Grand Challenge	2020-2024 AAA
320	1:58.25r	Charley Sears		17	200 FR LCM	SN	DART Swimming	2023 Futures - Sacramento, CA	2020-2024 AAA
321	1:58.26	Lars Rauch		17	200 FR LCM	IL	Team Millennium	2023 IL Illinois Swimming Summer Senior Championships	2020-2024 AAA
322	1:58.27	Colin Mikulecky		17	200 FR LCM	CO	Denver Swim Academy	2023 Speedo Junior National Championships	2020-2024 AAA
323	1:58.28	Troy Lee		17	200 FR LCM	CA	Irvine Novaquatics	2023 CC Arena Western Zone Senior Championships	2020-2024 AAA
324	1:58.29	John Weigel		17	200 FR LCM	IA	Iowa Flyers Swim Club	2023 IA Long Course Championship Meet	2020-2024 AAA
325	1:58.30	Keaton Rice		17	200 FR LCM	NT	Lakeside Aquatic Club	2023 TYR Pro Swim Series Mission Viejo	2020-2024 AAA
326	1:58.31	Rory O'Connor		17	200 FR LCM	CT	Chelsea Piers Aquatic Club	2023 FL ISCA Summer Senior Blast	2020-2024 AAA
327	1:58.32	Matthew Lee		17	200 FR LCM	CA	SOCAL Aquatics Association	2023 CA SCS/RMDA June Age Group Invite	2020-2024 AAA
327	1:58.32	Theodore Morse		17	200 FR LCM	NE	Commonwealth Swimming	2023 NE BGSC New England Senior Championship	2020-2024 AAA
327	1:58.32	Owen Schwebach		17	200 FR LCM	IA	Greater Des Moines YMCA	2023 IA Long Course Championship Meet	2020-2024 AAA
327	1:58.32	Marcelo Mansur		17	200 FR LCM	FG	Eagle Aquatics	2023 Futures - Ocala	2020-2024 AAA
331	1:58.33	Jackson Mueller		17	200 FR LCM	VA	NOVA of Virginia Aquatics, Inc	2023 VA LC Senior Champs	2020-2024 AAA
331	1:58.33	Taisei Saito		17	200 FR LCM	CA	Alpha Aquatics	2023 CC Arena Western Zone Senior Championships	2020-2024 AAA
333	1:58.34	Ben Gallegos		17	200 FR LCM	CA	Mission Viejo Nadadores	2023 CA SCS/RMDA June Age Group Invite	2020-2024 AAA
334	1:58.37	Cameron Macmillan		17	200 FR LCM	MD	Columbia Aquatics Association	2023 MD RAC Sandbox Meet	2020-2024 AAA
335	1:58.38r	Henry Cannon		17	200 FR LCM	OR	Multnomah Athletic Club	2023 OR OREGON SWIMMING, INC. OSI Arena 11&O LC CHAMPIONSHIPS	2020-2024 AAA
336	1:58.39	Ryan Li		17	200 FR LCM	MD	Eagle Swim Team Inc.	2023 MD Speedo Maryland Swimming Long Course Championship Meet	2020-2024 AAA
337	1:58.40	Grady O'Connor		17	200 FR LCM	MV	Empire KC Swim Club	2023 Futures Championships - San Antonio, TX - Cap Reached	2020-2024 AAA
338	1:58.41r	Linus Ament		17	200 FR LCM	PV	Rockville Montgomery Swim Club	2023 IN NCSA Summer Swimming Championships	2020-2024 AAA
339	1:58.42	Palmer Bice		17	200 FR LCM	MD	Naval Academy Aquatic Club	2023 Futures Championships - Richmond, VA - CAP REACHED	2020-2024 AAA
340	1:58.43	Adam Varga		17	200 FR LCM	FL	Saint Petersburg Aquatics	2023 FL Southern Zone South Sectional Championships	2020-2024 AAA
341	1:58.44	Alston Qin	Yes	17	200 FR LCM	FL	Bolles School Sharks	2023 FL BSS April Meet	2020-2024 AAA
342	1:58.46r	Owen Hoban		17	200 FR LCM	PV	Occoquan Swimming Inc	2023 VA EZ LC Speedo Super Sectional Time Trials	2020-2024 AAA
342	1:58.46	Nicco Gurri		17	200 FR LCM	MD	Meadowbrook Swim Team	2023 Futures Championships - Richmond, VA - CAP REACHED	2020-2024 AAA
342	1:58.46	Isaac deVries		17	200 FR LCM	MI	West Michigan Swimmers	2023 IN CZ East Spring Speedo Sectional	2020-2024 AAA
345	1:58.48r	JT Schmid		17	200 FR LCM	PV	Nation's Capital Swim Club	2023 VA EZ LC Speedo Super Sectional Time Trials	2020-2024 AAA
346	1:58.49	Cam Craft		17	200 FR LCM	OHO	M.E. Lyons/Anderson Barracudas	2023 OH AP SWOYSL AA Championship	2020-2024 AAA
347	1:58.50	James Harper		17	200 FR LCM	NC	Aquatic Team Of Mecklenburg	2023 NC TEAM Summer Splash 2	2020-2024 AAA
348	1:58.51	Noah Smith		17	200 FR LCM	GA	Stingrays	2023 GA Stu Hixon Invite	2020-2024 AAA
348	1:58.51	Yassen Eltaranisy	Yes	17	200 FR LCM	LE	Lake Erie Silver Dolphins	2023 IN CZ East Spring Speedo Sectional	2020-2024 AAA
350	1:58.52	Joao Lapagesse	Yes	17	200 FR LCM	FL	Academy Aquatic Club	2023 FL Summer Senior Championships	2020-2024 AAA
351	1:58.53	Hunter Cehelnik		17	200 FR LCM	CA	Mission Viejo Nadadores	2023 CA SCS/RMDA Road to Paris - LCM TF and Finals	2020-2024 AAA
352	1:58.56	Alex Parkinson		17	200 FR LCM	IL	Fox Valley Swim Team	2023 IA Speedo Section Summer Champs CZ North	2020-2024 AAA
353	1:58.57	Matvey Malinovski		17	200 FR LCM	NE	Crimson Aquatics	2023 Futures Championships - Richmond, VA - CAP REACHED	2020-2024 AAA
354	1:58.58	H.T. Tragle		17	200 FR LCM	PV	Nation's Capital Swim Club	2023 Futures Championships - Richmond, VA - CAP REACHED	2020-2024 AAA
355	1:58.60	Will Sims		17	200 FR LCM	AR	Central Arkansas Swim Club	2023 MV CSC Region VIII Sectional Championships	2020-2024 AAA
356	1:58.61	Jake Wang		17	200 FR LCM	MA	Suburban Seahawks Club	2023 MA Long Course Senior Championships	2020-2024 AAA
356	1:58.61r	Javier Colmenares	Yes	17	200 FR LCM	FG	South Florida Aquatic Club	2023 Futures - Ocala	2020-2024 AAA
358	1:58.63	Bryce Key		17	200 FR LCM	NT	Mansfield Aquatic Club	2023 NT MAC Lone Star Championship of the Universe	2020-2024 AAA
358	1:58.63	Thomas Hadji		17	200 FR LCM	CA	Paseo Aquatics Swim Team	2023 CA SCS/RMDA Road to Paris - LCM TF and Finals	2020-2024 AAA
360	1:58.64	Ethan Mindlin		17	200 FR LCM	AZ	Scottsdale Aquatic Club	2023 OR THSC SUMMER CLASSIC	2020-2024 AAA
361	1:58.65	Michael Traynor		17	200 FR LCM	FL	Sarasota Sharks	2023 FL Sarasota Shark Open	2020-2024 AAA
362	1:58.67	Charley Hu		17	200 FR LCM	PV	The Fish	2023 PV LC Open Championships	2020-2024 AAA
362	1:58.67	Charles Schreiner		17	200 FR LCM	MA	Egg Harbor Twp Seahawks	2023 MA Long Course Senior Championships	2020-2024 AAA
