Rank	Swim Time	Name	Foreign	Age	Event	LSC	Team	Meet	Time Standard
242	4:44.42	Mathew Cheang		17	400 IM LCM	PC	Santa Clara Swim Club	2024 PC Summer Far Western Championships	2020-2024 AAA
243	4:44.45	John Frank		17	400 IM LCM	PV	Rockville Montgomery Swim Club	2024 PV RMSC MD State LC Championships	2020-2024 AAA
244	4:44.58	Mark O'Mara		17	400 IM LCM	CA	Rose Bowl Aquatics	2024 Futures Championships - Sacramento	2020-2024 AAA
245	4:44.67	Lucas Arnaldo		17	400 IM LCM	IN	Boilermaker Aquatics	2024 Futures Championships - Austin	2020-2024 AAA
245	4:44.67	Frank Nguyen		17	400 IM LCM	PC	Santa Clara Swim Club	2024 Speedo Summer Championships - Time Trials	2020-2024 AAA
247	4:44.69	Will Spencer		17	400 IM LCM	PN	Seattle Metropolitan Aquatic Club	2024 PN Senior Long Course Championships	2020-2024 AAA
248	4:44.71	Dean Ko		17	400 IM LCM	CA	Unattached	2024 CA NOVA Gold/Silver LCM Intrasquad	2020-2024 AAA
249	4:44.80	Samuel Lee		17	400 IM LCM	MD	Monocacy Aquatic Club	2024 Futures Championships - Richmond	2020-2024 AAA
250	4:44.84	Evan Haney		17	400 IM LCM	IN	Northridge Area Swimming Assoc	2024 Central Zone East Spring Speedo Sectionals - In Section	2020-2024 AAA
251	4:44.90	Jack Ventre		17	400 IM LCM	NE	Crimson Aquatics	2024 NE SOLO Jenny Thompson Classic Prelims/Finals	2020-2024 AAA
252	4:45.19	Aiden Tillis		17	400 IM LCM	SE	Wake Aquatics	2024 FL ISCA International Senior Cup	2020-2024 AAA
253	4:45.27	Lucas Williams		17	400 IM LCM	OR	Multnomah Athletic Club	2024 WRS Speedo Sectionals -- Federal Way	2020-2024 AAA
254	4:45.37	Andrew Takach		17	400 IM LCM	PV	Nation's Capital Swim Club	2024 PV LC Open Championships	2020-2024 AAA
255	4:45.38	Lucas Abd		17	400 IM LCM	NJ	Greater Somerset County YMCA Storm	2024 FL YMCA National Long Course Swimming Championships	2020-2024 AAA
256	4:45.52	Charles Henage		17	400 IM LCM	NC	SwimMAC Carolina	2024 NC SwimMAC Novant Invitational	2020-2024 AAA
257	4:45.53	Carson Kalish		17	400 IM LCM	MA	Delaware Swim Team	2024 Futures Championships - Richmond	2020-2024 AAA
257	4:45.53	Jadeon Carter		17	400 IM LCM	MW	Lincoln Select Swimming	2024 MW LSS Capital City Classic	2020-2024 AAA
259	4:45.55	Thomas Duncan		17	400 IM LCM	PV	Nation's Capital Swim Club	2024 PV AAC LC Invitational	2020-2024 AAA
260	4:45.69	Danny Rinchiuso		17	400 IM LCM	CO	Fort Collins Area Swim Team	2024 WRS Speedo Sectionals -- Federal Way	2020-2024 AAA
261	4:45.74	Logan Loveday		17	400 IM LCM	SN	Wolverine Aquatics	2024 PC Summer Far Western Championships	2020-2024 AAA
262	4:45.77	Ryan Ericson		17	400 IM LCM	VA	Old Dominion Aquatic Club	2024 VA LC Senior Champs	2020-2024 AAA
263	4:45.91	Sy Pizzolato		17	400 IM LCM	MT	Billings Aquatic Club	2024 CC Arena Western Zone Senior Championship	2020-2024 AAA
264	4:45.98	Bill Belcher		17	400 IM LCM	VA	NOVA of Virginia Aquatics, Inc	2024 VA LC Senior Champs	2020-2024 AAA
265	4:46.06	Max Yeoh		17	400 IM LCM	KY	Kentucky Aquatics	2024 IN NCSA Summer Swimming Championships	2020-2024 AAA
265	4:46.06	Hugh Boris		17	400 IM LCM	CO	Univ of Denver Hilltoppers	2024 NT LAC Summer Senior Showdown	2020-2024 AAA
267	4:46.07	Trevan Valena		17	400 IM LCM	NT	Metroplex Aquatics	2024 NT MARS 16th Annual Bill Nixon Memorial Meet	2020-2024 AAA
268	4:46.16	Nick Hardt		17	400 IM LCM	GU	Hydro Elite Aquatics Team	2024 NT MTRO American Long Course	2020-2024 AAA
269	4:46.18	Phil Lin		17	400 IM LCM	PC	Crow Canyon Sharks	2024 PC Novato CA/NV Speedo Sectionals	2020-2024 AAA
270	4:46.20	Anthony Rulkowski		17	400 IM LCM	IL	Palatine Park Dist Swim Team	2024 IL CZ North Section Summer Championships	2020-2024 AAA
271	4:46.26	cooper Golling		17	400 IM LCM	CC	ACE Aquatics	2024 CC Arena Western Zone Senior Championship	2020-2024 AAA
272	4:46.27	Jackson Mueller		17	400 IM LCM	VA	NOVA of Virginia Aquatics, Inc	2024 VA NOVA LC Winter Invitational	2020-2024 AAA
272	4:46.27	Drew Dubois		17	400 IM LCM	IN	Carmel Swim Club	2024 IN ISI Swimfest	2020-2024 AAA
274	4:46.28	Ricky Beebe		17	400 IM LCM	LA	Nu Wave Swim Club	2024 LA Senior Long Course State Championship	2020-2024 AAA
275	4:46.30	Owen Robertson		17	400 IM LCM	CA	Las Vegas Swim Club	2024 CC Arena Western Zone Senior Championship	2020-2024 AAA
276	4:46.31	Brian Nguyen		17	400 IM LCM	CA	Irvine Novaquatics	2024 CA Fullerton CA/NV Speedo Sectionals	2020-2024 AAA
277	4:46.37	Eric Witt		17	400 IM LCM	MV	Wichita Swim Club	2024 MV WSC 67th Annual Air Capital Invitational	2020-2024 AAA
278	4:46.43	Jimmy Rogers		17	400 IM LCM	KY	Kentucky Aquatics	2024 IN NCSA Summer Swimming Championships	2020-2024 AAA
279	4:46.50	Bucky Gettys		17	400 IM LCM	ST	Texas Gold	2024 ST AAAA 21st Annual Cinco de Mayo International Swimming Invitational	2020-2024 AAA
280	4:46.56	Tyler Swartz		17	400 IM LCM	VA	Tide Swimming	2024 VA EZ LC Super Sectional Meet - Cap Reached	2020-2024 AAA
281	4:46.67	Aidan Jackson		17	400 IM LCM	MW	Greater Omaha Aquatics Leopardsharks	2024 Futures Championships - Minneapolis	2020-2024 AAA
281	4:46.67	Nolan Steele		17	400 IM LCM	SE	Coast Aquatics	2024 SE Southeastern Summer LC Championships	2020-2024 AAA
283	4:46.71	Luke Pugh		17	400 IM LCM	IN	Carmel Swim Club	2024 Futures Championships - Huntsville	2020-2024 AAA
283	4:46.71	Kai Liang		17	400 IM LCM	MD	Eagle Swim Team Inc.	2024 NI Long Course Speedo Sectionals	2020-2024 AAA
285	4:46.97	Hunter Raymer		17	400 IM LCM	AM	Team Pittsburgh Elite Aquatics	2024 IN NCSA Summer Swimming Championships	2020-2024 AAA
285	4:46.97	Anthony Zhang		17	400 IM LCM	CA	Trident Swim Club	2024 CC Arena Western Zone Senior Championship	2020-2024 AAA
287	4:46.99	Owen Currie		17	400 IM LCM	AZ	Scottsdale Aquatic Club	2024 OR SPEEDO SECTIONALS - MT HOOD	2020-2024 AAA
288	4:47.03	Owen Miao		17	400 IM LCM	MR	Long Island Aquatic Club	2024 NJ SCAR TYR LC Winter Invitational	2020-2024 AAA
289	4:47.09	Jeremy Rosen		17	400 IM LCM	AZ	Scottsdale Aquatic Club	2024 AZ SAC Winter Invite	2020-2024 AAA
290	4:47.10	Henry Heit		17	400 IM LCM	PC	Palo Alto Stanford Aquatics	2024 Futures Championships - Sacramento	2020-2024 AAA
291	4:47.15	Aidan Arie		17	400 IM LCM	CA	Unattached	2024 CA MVN Swim Meet of Champions	2020-2024 AAA
292	4:47.19	Avery Pellicano		17	400 IM LCM	SN	Sierra Marlins Swim Team	2024 Futures Championships - Sacramento	2020-2024 AAA
292	4:47.19	Gabe Beverini		17	400 IM LCM	NJ	Greater Somerset County YMCA Storm	2024 FL YMCA National Long Course Swimming Championships	2020-2024 AAA
294	4:47.20	Peter Wendol		17	400 IM LCM	FL	PiranhasYMCA of the Suncoast	2024 Futures Championships - Huntsville	2020-2024 AAA
