Rank	Swim Time	Name	Foreign	Age	Event	LSC	Team	Meet	Time Standard
296	2:14.21	Lukas Keele		17	200 IM LCM	UT	Wasatch Front Fish Market	2022 UT LC Champs	2020-2024 AAA
296	2:14.21	Tommy Erwin		17	200 IM LCM	ST	Alamo Area Aquatic Association	2022 ST AAAA NS George Block I	2020-2024 AAA
298	2:14.22	Sam Flack		17	200 IM LCM	SE	Baylor Swim Club	2022 SE TNAQ June Invitational	2020-2024 AAA
298	2:14.22	David Schmitt		17	200 IM LCM	CA	Evolution Racing Club	2022 CA Speedo Grand Challenge	2020-2024 AAA
300	2:14.24	Zain Butt		17	200 IM LCM	KY	Lakeside Swim Team	2022 IN NCSA Summer Swimming Championship	2020-2024 AAA
300	2:14.24	PJ Gauthier		17	200 IM LCM	CT	Cheshire Y Sea Dog Swim Club	2022 FL ISCA Summer Senior Blast	2020-2024 AAA
302	2:14.25	Matthew Lofstrom		17	200 IM LCM	CO	Team Vortex	2022 SN Finals - Western Zone Senior Ch	2020-2024 AAA
303	2:14.28	Julian Pala		17	200 IM LCM	NT	Texas Ford Aquatics	2022 IN NCSA Summer Swimming Championships	2020-2024 AAA
304	2:14.30	Andrew Billitto		17	200 IM LCM	FL	West Florida Lightning Aquatic	2022 FL AAU CAT Al Soltis Memorial	2020-2024 AAA
305	2:14.31	Andrew Teh		17	200 IM LCM	CA	SOCAL Aquatics Association	2022 CA Speedo Grand Challenge	2020-2024 AAA
306	2:14.32	Christian Koh		17	200 IM LCM	PN	Bellevue Club Swim Team	2022 PN BC May Flowers	2020-2024 AAA
307	2:14.33	Henry Amar		17	200 IM LCM	MR	Empire Swimming	2022 FL ISCA Summer Senior Blast	2020-2024 AAA
308	2:14.34	Sam Kohm		17	200 IM LCM	NC	TAC Titans	2022 NC TAC Spring Invitational	2020-2024 AAA
309	2:14.36	James Tao		17	200 IM LCM	MA	Jersey Wahoos	2022 MA Swimming Meet	2020-2024 AAA
310	2:14.40	Seth Basinger		17	200 IM LCM	FL	Patriot Aquatics	2022 MS Southern Zone Age Group	2020-2024 AAA
311	2:14.41	Jack Moloney		17	200 IM LCM	PV	Machine Aquatics	2022 IN NCSA Summer Swimming Championships2	2020-2024 AAA
312	2:14.42	Tomas Gonzalez		17	200 IM LCM	SD	Brookings Swim Club	2022 Futures - Minneapolis	2020-2024 AAA
313	2:14.44	Nate Perez		17	200 IM LCM	GA	Dynamo Swim Club	2022 NC Futures Championships Cary	2020-2024 AAA
